x,y,z
0.27113,0.23837,0.0
0.25309,0.21884,0.0
0.2461,0.24725,0.0
0.29979,0.33705,0.0
0.27809,0.37351,0.0
0.27263,0.39394,0.0
0.22526,0.22882,0.0
0.21983,0.25645,0.0
0.3067,0.18011,0.0
0.23261,0.19849,0.0
0.20174,0.20987,0.0
0.23496,0.87755,0.0
0.40692,0.58348,0.0
0.71529,0.36689,0.0
0.45463,0.56442,0.0
0.47301,0.56343,0.0
0.48325,0.57883,0.0
0.49158,0.56198,0.0
0.1545,0.46933,0.0
0.16998,0.44631,0.0
0.73502,0.39319,0.0
0.74869,0.36162,0.0
0.76961,0.3907,0.0
0.78406,0.3575,0.0
0.76198,0.32827,0.0
0.57939,0.7267,0.0
0.56527,0.75527,0.0
0.59826,0.75499,0.0
0.58192,0.78545,0.0
0.61779,0.78455,0.0
0.54976,0.78397,0.0
0.48085,0.54654,0.0
0.49957,0.54457,0.0
0.51036,0.56027,0.0
0.51838,0.54278,0.0
0.50728,0.52739,0.0
0.52545,0.5252,0.0
0.51326,0.50929,0.0
0.53217,0.50812,0.0
0.5224,0.49311,0.0
0.53933,0.49163,0.0
0.52911,0.47715,0.0
0.54602,0.47539,0.0
0.53555,0.46106,0.0
0.5531,0.45898,0.0
0.54229,0.44446,0.0
0.56042,0.44231,0.0
0.54924,0.42768,0.0
0.32925,0.57939,0.0
0.2418,0.27202,0.0
0.21891,0.28656,0.0
0.79879,0.32359,0.0
0.77462,0.29318,0.0
0.36873,0.58305,0.0
0.21596,0.69539,0.0
0.18175,0.69605,0.0
0.46774,0.24962,0.0
0.48149,0.26657,0.0
0.19319,0.26714,0.0
0.18885,0.2958,0.0
0.21105,0.31444,0.0
0.18511,0.32441,0.0
0.15972,0.30685,0.0
0.15715,0.33843,0.0
0.20804,0.34028,0.0
0.49164,0.17751,0.0
0.39028,0.17954,0.0
0.44395,0.15795,0.0
0.23314,0.52277,0.0
0.56793,0.42515,0.0
0.5549,0.41128,0.0
0.56555,0.8173,0.0
0.52803,0.81808,0.0
0.19941,0.72669,0.0
0.1964,0.44667,0.0
0.80594,0.38688,0.0
0.7907,0.42099,0.0
0.20871,0.17832,0.0
0.1753,0.18922,0.0
0.31737,0.63009,0.0
0.2916,0.25513,0.0
0.58012,0.44077,0.0
0.81285,0.28901,0.0
0.78845,0.25672,0.0
0.14626,0.51868,0.0
0.16241,0.72763,0.0
0.35698,0.63417,0.0
0.83532,0.3203,0.0
0.39588,0.24151,0.0
0.54964,0.50569,0.0
0.1667,0.66564,0.0
0.54727,0.85094,0.0
0.4607,0.2721,0.0
0.47413,0.28614,0.0
0.49675,0.516,0.0
0.83487,0.25143,0.0
0.80474,0.21932,0.0
0.7632,0.22475,0.0
0.77904,0.18698,0.0
0.73756,0.19251,0.0
0.82059,0.18034,0.0
